dataset,model_type,num_samples,inference_time_seconds,inference_time_per_sample,person_precision,person_recall,person_f1,entity_f1_macro,token_accuracy,timestamp,model_size_mb
a,TITLE,934,43.87675213813782,0.04697725068323107,0.5922643029814666,0.38786279683377306,0.46875000000000006,0.3264802631578948,0.9386683636942168,2025-06-11T00:28:52.734175,484.5404739379883
conllpp_train,TITLE,1499,63.7254433631897,0.042511970222274646,0.8382242287434161,0.9345637583892618,0.883776279254264,0.5798191741098906,0.9884465376407389,2025-06-11T00:29:57.072674,484.5404739379883
KAGGLE,TITLE,4796,212.67967224121094,0.04434521939975207,0.6478076379066479,0.8081164534627261,0.719136408243376,0.42592765112629627,0.9641583222312948,2025-06-11T00:33:31.950304,484.5404739379883
ritter,TITLE,240,10.984860897064209,0.04577025373776754,0.14460784313725492,0.8082191780821918,0.24532224532224534,0.12266112266112267,0.9304610733182161,2025-06-11T00:33:43.111626,484.5404739379883
WNUT,TITLE,569,25.886006116867065,0.04549385960785073,0.26657824933687,0.6442307692307693,0.3771106941838649,0.2599839185205039,0.9476839237057221,2025-06-11T00:34:09.330723,484.5404739379883
a,NO-TITLE,934,42.541937589645386,0.04554811305101219,0.6119962511715089,0.3445910290237467,0.4409182984469953,0.4409182984469953,0.9402593270225121,2025-06-11T00:34:52.490113,484.5286560058594
conllpp_train,NO-TITLE,1499,63.9608633518219,0.04266902158226945,0.8761061946902655,0.9135906040268457,0.8944558521560575,0.8944558521560575,0.9917948340569578,2025-06-11T00:35:57.068076,484.5286560058594
KAGGLE,NO-TITLE,4796,221.41825103759766,0.046167275028690086,0.6871985157699444,0.8169386854874283,0.7464731962918179,0.7464731962918179,0.9806867506124027,2025-06-11T00:39:40.641197,484.5286560058594
result,NO-TITLE,1499,68.3658754825592,0.04560765542532302,0.8761061946902655,0.9135906040268457,0.8944558521560575,0.8944558521560575,0.9917948340569578,2025-06-11T00:40:49.666024,484.5286560058594
ritter,NO-TITLE,240,11.684829950332642,0.04868679145971934,0.17261904761904762,0.7945205479452054,0.28361858190709044,0.28361858190709044,0.9440665154950869,2025-06-11T00:41:01.517752,484.5286560058594
test,NO-TITLE,1499,68.4012885093689,0.04563127985948559,0.8761061946902655,0.9135906040268457,0.8944558521560575,0.8944558521560575,0.9917948340569578,2025-06-11T00:42:10.559925,484.5286560058594
WNUT,NO-TITLE,569,27.51664638519287,0.048359659727931235,0.31385642737896496,0.6025641025641025,0.4127332601536773,0.4127332601536773,0.9584468664850136,2025-06-11T00:42:38.389171,484.5286560058594
